cislo_licence,pocet_zdroju
310101617,14
310101228,2
310202588,4
310912516,2
310304092,3
310100451,9
310101838,3
310100259,2
310605115,19
310504660,4
310203635,1
310202420,3
310101854,4
310102890,3
310202213,1
310100968,11
310100938,4
310100076,6
310100762,2
310404158,1
311634306,3
310102935,5
310100326,4
310101875,4
310102040,4
310101174,7
310303888,2
310102116,4
310101542,7
310102709,9
310102894,10
310202355,4
310203553,38
310103147,76
310101972,4
310100715,3
310101806,3
310103323,23
310504755,2
310202449,2
310100839,9
310202198,28
310404489,1
310202623,6
310101610,2
310202755,2
310100662,3
310911719,4
310202363,16
310101231,17
310101983,8
310806114,4
310101515,6
311223629,11
310100198,6
310304051,26
311734322,22
311332491,21
310103316,2
312036571,2
310806953,9
311013286,2
310202163,3
310101596,25
310100145,49
310404175,2
310102741,1
310101187,3
311835000,3
310103102,3
310100985,13
310100392,9
310100551,287
310203487,4
310101924,2
310101319,2
310504781,19
310101436,13
310100371,14
310404400,1
310100520,33
310404172,4
310203517,5
310100213,2
310202416,2
310103284,2
310303930,2
311734778,1
311533521,41
310101497,
310103399,2
310102882,6
310100287,5
310101255,4
310203718,4
310100626,10
310101842,59
311533505,3
310202773,2
310404333,2
310100302,9
310101369,19
310100206,10
310202419,27
310103054,14
311118491,
310504763,
310101341,4
310504712,4
310100078,
310504740,5
310202581,2
310101752,96
310101336,3
310101633,
310103250,3
310203619,1
310203734,2
310404241,7
311835185,4
312036593,1
310203497,3
310103548,5
310203650,3
310202960,1
310404433,6
310203654,4
310303886,2
310103181,2
310203550,8
310202337,5
310101984,3
310202344,4
310202431,3
310103045,3
310100748,13
310100179,66
310404180,1
310404364,2
310202503,5
310705313,3
310100374,3
310100151,6
310504595,5
310100233,16
310504598,9
310101739,1
310101571,1
310101573,3
310202636,3
310101004,2
310101920,2
310100752,18
310102818,2
310202587,2
310103351,1
310102886,3
310101998,2
310103182,29
310202131,40
310102796,63
311433031,2
310202250,2
310203623,3
310101215,5
310100267,10
310101414,15
310100204,19
310101546,10
310101452,2
310101521,3
310102033,3
310404385,3
310100855,1
310203682,2
310101417,27
310303834,104
310203557,3
310203519,2
310404352,2
310101104,5
310404167,4
310504605,
310202314,6
310101426,5
310101731,3
310202504,2
310202417,5
310101840,3
310504544,3
311634220,3
310101286,6
310404346,5
310202591,3
310504788,2
310202560,2
310202531,8
310101217,2
310202432,5
310203024,5
310101381,15
310101588,1
310100996,7
310100735,13
310705650,2
310100900,11
310101311,10
310202540,3
310202186,10
310304075,3
310100745,21
310100554,26
310102942,7
310101354,2
310100449,3
310103239,2
311432989,2
310303946,2
310203710,21
310203447,1
310504588,2
310100386,3
310101044,4
310100473,2
310103343,3
310202501,4
310404496,3
310806405,3
310101474,7
310102752,1
310101841,4
310202993,4
310101903,2
310404407,1
310102015,4
310102049,12
310101567,7
310202239,2
310202499,3
310304034,3
310202111,3
310101630,3
310101197,2
310203642,3
310103081,2
310202138,2
310103143,2
310304048,2
310202433,1
310101581,2
310103350,2
310101250,6
310100016,2
311118555,
310203741,2
310101820,2
310504611,4
310202257,2
310303798,2
310101992,10
310605010,20
310805802,2
310504583,7
310103369,2
310404239,3
310100628,6
310806165,4
310101634,11
310103171,107
310404173,3
310203652,3
310504747,4
310101709,2
310100558,3
310100170,8
310100320,4
310103061,11
310100529,4
310203732,2
310202262,4
310100388,3
310100657,9
310100305,31
310202165,26
310100265,63
310100467,2
310202349,3
310101157,2
310100729,3
311533702,1
310101060,2
310504596,5
310101146,13
310100941,2
310100450,2
310100103,7
310101723,8
310101422,7
310202229,23
310100743,44
310101325,30
310202194,2
310202290,2
310303815,1
310202190,3
310100063,5
310100527,10
310202702,13
310202180,63
310101821,3
310303987,5
310202179,2
310303908,3
310304079,8
310101969,3
310404140,6
310504690,5
310100915,4
310100756,1
310100134,2
310101207,4
310404182,15
310101114,4
310202654,6
310404359,6
310101399,6
310203700,2
310100079,3
310202647,2
310100398,6
310102849,2
310100758,4
310504636,14
310101047,7
310202157,2
310100511,3
310101655,6
310203394,6
310100432,4
310100865,4
310101594,20
310101421,16
310101353,61
310203475,3
310101195,4
310101118,8
310101199,0
310100546,4
310504750,4
310202981,5
310102212,3
310100478,2
310103158,3
310504625,4
310101733,4
310303980,2
310100929,7
310101638,1
310101785,11
310100020,2
310806309,2
310202776,2
310202117,3
310100783,4
310100966,14
310102083,12
310101210,11
310202394,4
310100260,4
310101180,12
310504677,3
310100066,12
310100019,10
310504785,2
310101674,53
310100892,12
310101867,3
310202372,5
310102002,4
310100636,8
310100518,4
310100156,20
310101863,6
310101794,5
310100087,2
310100997,3
310100416,8
310100866,9
310100053,11
310102142,10
310100093,15
310103071,16
310100178,5
310100685,8
310100870,3
310101524,7
310100515,5
310100832,8
310101859,7
310100749,4
310101532,2
310101539,3
310101979,1
310102145,2
310504581,2
310100707,14
310101471,25
310101602,5
310101284,3
310100703,4
310100343,9
310100882,15
310103133,13
310101438,26
310404454,2
310102020,3
310101816,6
310404144,6
310100384,13
310304027,10
310101540,14
310101346,441
310100984,3
310100754,4
310101244,4
310304040,5
310100920,5
310101797,7
310100341,10
310100454,10
310101791,3
310202435,2
310304008,6
310202957,10
310202395,15
310100476,1
310203438,23
310404382,25
310100462,99
310100875,3
310103076,1
310100597,4
310101737,10
310101801,4
310103138,19
310101313,31
310100420,23
310404130,6
311327210,2
310101042,3
310504684,2
310202463,3
310100879,9
310100649,6
310202409,3
310101150,4
310100957,3
311224185,2
310202507,10
310101184,5
310202787,8
310100509,2
310100502,6
310100770,28
310101681,2
310101688,2
310103378,6
310100845,3
310100894,4
310202291,7
310100498,22
310101958,13
310404210,3
310101966,3
